Class,TP,FP,FN,Precision,Recall,F1-Score
Class:AEO_0000125,1,2,2,0.33,0.33,0.33
Class:AEO_0000131,0,3,3,0.0,0.0,0.0
Class:AEO_0000211,2,1,2,0.67,0.5,0.57
Class:AEO_0001018,2,0,1,1.0,0.67,0.8
Class:AEO_0001009,2,0,1,1.0,0.67,0.8
Class:AEO_0000212,3,0,0,1.0,1.0,1.0
Class:AEO_0000200,3,0,1,1.0,0.75,0.86
Class:CARO_0000029,1,1,2,0.5,0.33,0.4
Class:CARO_0000050,1,0,1,1.0,0.5,0.67
Class:CARO_0000063,2,0,0,1.0,1.0,1.0
Class:CARO_0000072,2,0,0,1.0,1.0,1.0
Class:AEO_0000193,1,2,2,0.33,0.33,0.33
Class:CARO_0000040,3,0,1,1.0,0.75,0.86
Class:AEO_0000090,0,2,2,0.0,0.0,0.0
Class:AEO_0000135,2,0,1,1.0,0.67,0.8
Class:AEO_0000151,2,0,0,1.0,1.0,1.0
Class:CARO_0000055,2,0,1,1.0,0.67,0.8
Class:AEO_0000183,2,0,1,1.0,0.67,0.8
Class:AEO_0000199,1,1,2,0.5,0.33,0.4
Class:AEO_0001006,1,1,1,0.5,0.5,0.5
Class:CL_0000062,2,1,1,0.67,0.67,0.67
Class:AEO_0000186,1,1,1,0.5,0.5,0.5
Class:AEO_0000215,1,1,1,0.5,0.5,0.5
Class:AEO_0000222,1,0,1,1.0,0.5,0.67
Class:CARO_0000008,2,0,0,1.0,1.0,1.0
Class:CARO_0000010,2,1,1,0.67,0.67,0.67
Class:CL_0000000,2,0,1,1.0,0.67,0.8
Class:CL_0000066,2,0,1,1.0,0.67,0.8
Class:CL_0000015,1,1,1,0.5,0.5,0.5
Class:CL_0000080,2,2,1,0.5,0.67,0.57
Class:CL_0000737,3,0,0,1.0,1.0,1.0
Class:CL_0000746,2,1,1,0.67,0.67,0.67
Class:CL_0000540,1,1,4,0.5,0.2,0.29
Class:CL_0000107,1,1,1,0.5,0.5,0.5
Class:CL_0000526,1,1,2,0.5,0.33,0.4
Class:CL_0002371,1,1,1,0.5,0.5,0.5
Class:CL_0000187,2,0,0,1.0,1.0,1.0
Class:CL_0002372,3,0,0,1.0,1.0,1.0
Class:CL_0000129,2,3,3,0.4,0.4,0.4
Class:CL_0002573,1,1,1,0.5,0.5,0.5
Class:CL_0002320,3,1,1,0.75,0.75,0.75
Class:CL_0000136,3,0,0,1.0,1.0,1.0
Class:CL_0000667,1,1,1,0.5,0.5,0.5
Class:CL_0000058,0,2,2,0.0,0.0,0.0
Class:CL_0000414,1,1,1,0.5,0.5,0.5
Class:CARO_0000000,2,0,0,1.0,1.0,1.0
Class:CARO_0000005,3,0,0,1.0,1.0,1.0
Class:AEO_0000079,1,1,1,0.5,0.5,0.5
Class:CL_0000055,1,0,1,1.0,0.5,0.67
Class:CL_0000165,2,0,0,1.0,1.0,1.0
Average,,,,0.72,0.62,0.66
